SNMP walk mib (Time:2013/08/15 11:57:17, IP:110.0.51.252 SNMP Port:161, SNMP Version:2, SNMP Timeout:5000ms)
.1.3.6.1.2.1.1.1.0: SNMP Octet String [length = 194, fmt = RAW] = [MyPower (R) Operating System Software\nMyPower S6800 version 6.3.32(integrity), compiled on Jun 16 2011, 09:56:51 \nCopyright (C) 2009 Maipu Communication Technology Co., Ltd. All Rights Reserved.]
.1.3.6.1.2.1.1.2.0: .1.3.6.1.4.1.5651.1.102.27
.1.3.6.1.2.1.1.3.0: SNMP TimeTicks [1459234200]
.1.3.6.1.2.1.1.4.0: SNMP Octet String [length = 20, fmt = RAW] = [Maipu Communications]
.1.3.6.1.2.1.1.5.0: SNMP Octet String [length = 14, fmt = RAW] = [GD142MS68_SP01]
.1.3.6.1.2.1.1.6.0: SNMP Octet String [length = 64, fmt = RAW] = [No.16, Jiuxing Avenue, High-tech Park, Chengdu, P.R.China 610041]
.1.3.6.1.2.1.1.7.0: SNMP Int32 [4]
.1.3.6.1.2.1.2.1.0: SNMP Int32 [207]
.1.3.6.1.2.1.2.2.1.1.1: SNMP Int32 [1]
.1.3.6.1.2.1.2.2.1.1.2: SNMP Int32 [2]
.1.3.6.1.2.1.2.2.1.1.3: SNMP Int32 [3]
.1.3.6.1.2.1.2.2.1.1.4: SNMP Int32 [4]
.1.3.6.1.2.1.2.2.1.1.5: SNMP Int32 [5]
.1.3.6.1.2.1.2.2.1.1.6: SNMP Int32 [6]
.1.3.6.1.2.1.2.2.1.1.7: SNMP Int32 [7]
.1.3.6.1.2.1.2.2.1.1.8: SNMP Int32 [8]
.1.3.6.1.2.1.2.2.1.1.9: SNMP Int32 [9]
.1.3.6.1.2.1.2.2.1.1.10: SNMP Int32 [10]
.1.3.6.1.2.1.2.2.1.1.11: SNMP Int32 [11]
.1.3.6.1.2.1.2.2.1.1.12: SNMP Int32 [12]
.1.3.6.1.2.1.2.2.1.1.13: SNMP Int32 [13]
.1.3.6.1.2.1.2.2.1.1.14: SNMP Int32 [14]
.1.3.6.1.2.1.2.2.1.1.15: SNMP Int32 [15]
.1.3.6.1.2.1.2.2.1.1.16: SNMP Int32 [16]
.1.3.6.1.2.1.2.2.1.1.17: SNMP Int32 [17]
.1.3.6.1.2.1.2.2.1.1.18: SNMP Int32 [18]
.1.3.6.1.2.1.2.2.1.1.19: SNMP Int32 [19]
.1.3.6.1.2.1.2.2.1.1.20: SNMP Int32 [20]
.1.3.6.1.2.1.2.2.1.1.21: SNMP Int32 [21]
.1.3.6.1.2.1.2.2.1.1.22: SNMP Int32 [22]
.1.3.6.1.2.1.2.2.1.1.23: SNMP Int32 [23]
.1.3.6.1.2.1.2.2.1.1.24: SNMP Int32 [24]
.1.3.6.1.2.1.2.2.1.1.49: SNMP Int32 [49]
.1.3.6.1.2.1.2.2.1.1.50: SNMP Int32 [50]
.1.3.6.1.2.1.2.2.1.1.51: SNMP Int32 [51]
.1.3.6.1.2.1.2.2.1.1.52: SNMP Int32 [52]
.1.3.6.1.2.1.2.2.1.1.53: SNMP Int32 [53]
.1.3.6.1.2.1.2.2.1.1.54: SNMP Int32 [54]
.1.3.6.1.2.1.2.2.1.1.55: SNMP Int32 [55]
.1.3.6.1.2.1.2.2.1.1.56: SNMP Int32 [56]
.1.3.6.1.2.1.2.2.1.1.57: SNMP Int32 [57]
.1.3.6.1.2.1.2.2.1.1.58: SNMP Int32 [58]
.1.3.6.1.2.1.2.2.1.1.59: SNMP Int32 [59]
.1.3.6.1.2.1.2.2.1.1.60: SNMP Int32 [60]
.1.3.6.1.2.1.2.2.1.1.61: SNMP Int32 [61]
.1.3.6.1.2.1.2.2.1.1.62: SNMP Int32 [62]
.1.3.6.1.2.1.2.2.1.1.63: SNMP Int32 [63]
.1.3.6.1.2.1.2.2.1.1.64: SNMP Int32 [64]
.1.3.6.1.2.1.2.2.1.1.65: SNMP Int32 [65]
.1.3.6.1.2.1.2.2.1.1.66: SNMP Int32 [66]
.1.3.6.1.2.1.2.2.1.1.67: SNMP Int32 [67]
.1.3.6.1.2.1.2.2.1.1.68: SNMP Int32 [68]
.1.3.6.1.2.1.2.2.1.1.69: SNMP Int32 [69]
.1.3.6.1.2.1.2.2.1.1.70: SNMP Int32 [70]
.1.3.6.1.2.1.2.2.1.1.71: SNMP Int32 [71]
.1.3.6.1.2.1.2.2.1.1.72: SNMP Int32 [72]
.1.3.6.1.2.1.2.2.1.1.769: SNMP Int32 [769]
.1.3.6.1.2.1.2.2.1.1.836: SNMP Int32 [836]
